Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
David Montgomery,CHI,23,RB,15,14,247,1070,8,59,80,4.3,71.3,1
Ezekiel Elliott,DAL,25,RB,15,15,244,979,6,62,31,4.0,65.3,6
Kenyan Drake,ARI,26,RB,15,13,239,955,10,59,69,4.0,63.7,3
Melvin Gordon,DEN,27,RB,15,10,215,986,9,46,65,4.6,65.7,4
Aaron Jones*,GNB,26,RB,14,14,201,1104,9,52,77,5.5,78.9,2
Nick Chubb*,CLE,25,RB,12,12,190,1067,12,56,59,5.6,88.9,1
Mike Davis,CAR,27,RB,15,12,165,642,6,38,25,3.9,42.8,1
Adrian Peterson,DET,35,RB,16,10,156,604,7,34,38,3.9,37.8,0
David Johnson,HOU,29,RB,12,12,147,691,6,38,48,4.7,57.6,2
Kyler Murray *,ARI,23,QB,16,16,133,819,11,52,48,6.2,51.2,9
Giovani Bernard,CIN,29,RB,16,10,124,416,3,23,15,3.4,26.0,1
Deshaun Watson *,HOU,25,QB,16,16,90,444,3,31,16,4.9,27.8,8
Baker Mayfield,CLE,25,QB,16,16,54,165,1,18,28,3.1,10.3,8
Teddy Bridgewater,CAR,28,QB,15,15,53,279,5,18,18,5.3,18.6,6
Drew Lock,DEN,24,QB,13,13,44,160,3,13,16,3.6,12.3,8
Aaron Rodgers *+,GNB,37,QB,16,16,38,149,3,15,14,3.9,9.3,4
Joe Burrow,CIN,24,QB,10,10,37,142,3,14,23,3.8,14.2,9
Matthew Stafford,DET,32,QB,16,16,29,112,0,12,17,3.9,7.0,2
CeeDee Lamb,DAL,21,WR,16,14,10,82,1,4,19,8.2,5.1,2
Amari Cooper,DAL,26,WR,16,15,6,14,0,1,10,2.3,0.9,0
Tee Higgins,CIN,21,WR,16,14,5,28,0,1,13,5.6,1.8,1
Robby Anderson,CAR,27,WR,16,16,4,15,0,1,11,3.8,0.9,1
Jarvis Landry,CLE,28,WR,15,14,4,10,1,2,5,2.5,0.7,2
Marquez Valdes-Scantling,GNB,26,WR,16,12,4,13,0,1,9,3.3,0.8,1
Christian Kirk,ARI,24,WR,14,10,2,3,0,1,3,1.5,0.2,1
D.J. Moore,CAR,23,WR,15,14,2,22,0,1,21,11.0,1.5,0
Will Fuller,HOU,26,WR,11,11,1,0,0,0,0,0.0,0.0,0
T.J. Hockenson *,DET,23,TE,16,16,1,0,0,0,0,0.0,0.0,1
DeAndre Hopkins*,ARI,28,WR,16,16,1,1,0,0,1,1.0,0.1,3
Allen Robinson,CHI,27,WR,16,16,1,-1,0,0,-1,-1.0,-0.1,0
